ID,Language,Subscription Type,Subscription Event Type,Purchase Store,Purchase Amount,Currency,Subscription Start Date,Subscription Expiration,Demo User,Free Trial User,Auto Renew,Country,User Type,Lead Platform,Email Subscriber,Push Notifications,Send Count,Open Count,Click Count,Unique Open Count,Unique Click Count,USD Purchase Amount,USD Purchase Amount Clean
2,EBR,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-11-28,2020-02-28,No,No,Off,Other,Consumer,Web,No,Yes,4,3,0,1,0,39.0,39.0
3,ESP,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-12-31,2019-12-31,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,1,0,0,0,0,0.0,0.0
6,ESP,Limited,INITIAL_PURCHASE,Web,38.34,USD,2019-08-23,2019-11-23,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,162,1,0,1,0,38.34,38.34
7,ESP,Limited,RENEWAL,Web,79.0,USD,2019-07-21,2019-11-11,Yes,No,Off,Other,Consumer,App,Yes,Yes,2,0,0,0,0,79.0,79.0
8,DEU,Limited,INITIAL_PURCHASE,Web,38.4,USD,2020-03-07,2020-06-07,Yes,No,On,US/Canada,Consumer,App,Yes,Yes,25,17,4,7,2,38.4,38.4
9,DEU,Limited,INITIAL_PURCHASE,Web,43.16,USD,2020-03-03,2020-06-08,No,Yes,On,Europe,Consumer,Web,No,Yes,52,11,0,5,0,43.16,43.16
12,ESP,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-10-17,2020-01-21,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,94,0,0,0,0,35.97,35.97
13,GLE,Limited,RENEWAL,Web,10.83,GBP,2019-03-17,2020-05-17,No,No,On,Europe,Consumer,Web,No,Yes,70,70,0,2,0,13.6458,13.6458
14,ALL,Limited,INITIAL_PURCHASE,Web,143.76,USD,2020-03-25,2022-03-25,No,No,On,US/Canada,Consumer,Web,Yes,Yes,174,37,6,28,2,143.76,143.76
17,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-25,2099-01-01,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,8,6,3,2,1,199.0,199.0
18,SVE,Limited,INITIAL_PURCHASE,Web,79.5,GBP,2019-05-01,2020-11-15,No,No,On,Europe,Consumer,Web,Yes,Yes,2,1,0,1,0,100.17,100.17
22,ENG,Limited,INITIAL_PURCHASE,Web,39.5,USD,2019-12-24,2020-03-24,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,8,2,0,1,0,39.5,39.5
23,ESP,Lifetime,INITIAL_PURCHASE,Web,0.0,USD,2019-03-26,2099-01-01,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,2,0,0,0,0,0.0,0.0
24,FRA,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-02-02,2020-02-02,No,No,Off,US/Canada,Consumer,Web,No,Yes,3,2,0,1,0,0.0,0.0
29,ENG,Limited,INITIAL_PURCHASE,Web,35.97,USD,2019-09-21,2019-12-21,Yes,No,Off,Other,Consumer,Web,Yes,Yes,316,243,4,120,1,35.97,35.97
31,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-21,2099-01-01,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,23,7,5,3,2,199.0,199.0
38,FRA,Limited,INITIAL_PURCHASE,Web,0.0,USD,2019-03-03,2020-03-03,No,No,Off,US/Canada,Consumer,Web,No,Yes,3,2,2,1,1,0.0,0.0
40,ITA,Limited,RENEWAL,Web,35.97,USD,2019-10-01,2020-07-01,No,No,On,Other,Other,Unknown,No,No,3,1,0,1,0,35.97,35.97
42,ESP,Limited,INITIAL_PURCHASE,Web,38.89,USD,2020-01-27,2020-04-30,No,Yes,Off,US/Canada,Consumer,Web,Yes,Yes,19,11,4,7,2,38.89,38.89
43,RUS,Limited,INITIAL_PURCHASE,Web,39.0,USD,2019-08-22,2019-11-25,No,Yes,Off,Europe,Consumer,Web,No,Yes,79,56,1,38,1,39.0,39.0
51,FRA,Limited,INITIAL_PURCHASE,Web,0.0,USD,2018-12-12,2019-06-12,No,No,Off,US/Canada,Consumer,Web,Yes,Yes,17,0,0,0,0,0.0,0.0
52,DEU,Limited,RENEWAL,Web,40.83,GBP,2019-12-19,2020-06-19,No,No,On,Europe,Consumer,Web,No,Yes,6,6,0,2,0,51.4458,51.4458
61,ALL,Lifetime,INITIAL_PURCHASE,Web,199.0,USD,2020-03-07,2099-01-01,Yes,No,Off,US/Canada,Consumer,App,Yes,Yes,6,1,0,1,0,199.0,199.0
65,ENG,Limited,INITIAL_PURCHASE,Web,65.94,USD,2019-08-24,2020-02-24,No,No,On,US/Canada,Consumer,Web,Yes,Yes,38,3,0,3,0,65.94,65.94
